1.50	6.50	1.31
0.00	6.30	1.14
0.00	7.40	1.16
0.00	2.30	1.41
41.70	3.50	64.17
33.00	3.90	8.93
22.90	4.40	28.17
53.60	3.60	14.53
30.70	3.60	18.53
49.00	3.10	24.69
5.60	5.40	16.51
3.30	2.50	8.23
144.00	2.80	25.24
38.60	6.10	79.86
1.80	4.40	14.17
21.60	6.90	17.59
0.00	6.60	9.23
0.00	7.30	5.84
2.00	6.60	4.22
0.00	7.60	3.37
0.00	7.00	2.71
0.00	7.10	2.34
0.00	7.30	2.08
0.00	6.80	1.79
0.00	5.40	1.48
4.60	6.20	1.40
0.00	7.60	1.31
0.00	6.70	1.22
1.00	6.60	1.20
43.40	3.10	1.14
0.00	2.60	2.05
0.00	6.10	2.38
0.00	6.90	1.52
0.00	6.90	1.33
0.00	6.80	1.23
0.00	5.90	1.04
0.00	7.50	0.95
0.00	6.80	0.95
7.40	6.20	0.97
5.30	6.70	1.18
0.00	6.40	1.29
0.00	6.20	1.16
4.10	6.80	0.98
0.00	4.50	0.85
5.10	6.40	0.75
1.80	4.40	0.87
30.50	3.30	1.06
0.50	2.60	2.49
2.80	3.30	2.43
21.60	2.30	2.23
12.70	4.20	3.86
57.20	5.40	18.02
0.00	5.40	5.84
6.10	5.60	3.64
0.00	5.90	3.34
1.50	4.90	3.23
0.00	6.20	3.23
1.50	4.50	3.23
13.00	4.40	3.16
3.60	5.70	3.06
1.30	4.80	3.06
0.00	4.30	2.99
3.80	3.80	2.89
23.10	4.60	2.83
5.10	2.80	3.77
2.50	4.70	3.35
3.00	2.70	3.16
6.10	3.10	3.06
0.00	4.40	2.99
10.40	5.40	2.89
0.00	5.60	2.83
0.00	5.30	2.73
0.00	5.10	2.73
0.00	5.50	2.67
0.00	4.90	2.58
0.00	4.40	2.57
9.10	5.30	2.57
0.00	3.40	2.57
13.20	4.80	2.52
0.00	3.90	2.43
8.60	4.10	2.37
8.10	4.70	2.28
0.00	4.90	2.23
0.00	4.80	2.14
2.30	5.10	2.14
0.00	4.80	2.14
0.00	4.10	2.09
10.20	4.80	2.01
0.00	4.20	2.00
0.00	4.10	1.95
0.00	4.10	1.83
0.00	3.90	1.75
0.00	4.90	1.70
0.00	4.80	1.63
0.00	4.70	1.59
0.00	5.30	1.51
0.00	5.40	1.51
0.00	4.80	1.51
0.00	5.30	1.47
0.00	4.50	1.40
0.00	4.90	1.40
2.30	3.70	1.40
0.00	4.00	1.36
0.50	4.40	1.30
